Nm_na_NmGenW	Aifreann na marbh	Aifreann,na,marbh
Nf_AB	craein shoghluaiste	craein,soghluaiste
Nm_Nm	craiceann béir	craiceann,béar
Nm_Nm	craiceann caocháin	craiceann,caochán
Nm_AB	craiceann fia	craiceann,fia
Nm_Nf	craiceann muice	craiceann,muc
Nm_Nm	craiceann róin	craiceann,rón
Nm_Nf	crandaí bogadaí	crandaí,bogadach
Nm_Nf	crann aibreoige	crann,aibreog
Nm_Nf	crann ailme	crann,ailm
Nm_Nf	crann almóinne	crann,almóinn
Nm_VA	crann ardaithe	crann,ardaithe
Nm_AB	crann barrscoite	crann,barrscoite
Nm_Nf	crann beithe	crann,beith
Nm_Nf	crann brataí	crann,bratach
Nm_A	crann bán	crann,bán
Nm_Nm	crann cainéil	crann,cainéal
Nm_Nm	crann caorthainn	crann,caorthann
Nm_VNTGen	crann ceoil	crann,ceol
Nm_Nm	crann cinn	crann,ceann
Nm_Nm	crann clis	crann,cleas
Nm_VA	crann cosanta	crann,cosanta
Nm_A	crann creathach	crann,creathach
Nm_Nf	crann cufróige	crann,cufróg
Nm_Nf	crann darach	crann,dair
Nm_Nm	crann fearna	crann,fearn
Nm_Nf	crann fuinseoige	crann,fuinseog
Nm_VA	crann fuinte	crann,fuinte
Nm_Nf	crann giúise	crann,giúis
Nm_VA	crann gléasta	crann,gléasta
Nm_Nm	crann iúir	crann,iúr
Nm_Nf	crann mailpe	crann,mailp
Nm_Nf	crann maoildeirge	crann,maoildearg
Nm_Nm	crann muscróis	crann,muscrós
Nm_na_Nf	crann na croiche	crann,na,croch
Nm_Nf	crann pailme	crann,pailm
Nm_Nm	crann plantáin	crann,plantán
Nm_Nf	crann poibleoige	crann,poibleog
Nm_Nf	crann pomagránaite	crann,pomagránait
Nm_Nf	crann péine	crann,pian
Nm_Nf	crann péitseoige	crann,péitseog
Nm_Nf	crann scuaibe	crann,scuab
Nm_VA	crann seasta	crann,seasta
Nm_Nm	crann seoil	crann,seol
Nm_VNTIGen	crann snámha	crann,snámh
Nm_Nm	crann solais	crann,solas
Nm_VA	crann stiúrtha	crann,stiúrtha
Nm_A	crann síorghlas	crann,síorghlas
Nm_Nm	crann tabhaill	crann,tabhall
Nm_Nm	crann teallaigh	crann,teallach
Nm_VNTIGen	crann tomhais	crann,tomhas
Nm_Nm	crann troim	crann,trom
Nm_VNTIGen	crann tógála	crann,tógáil
Nm_Nm	crann vóid	crann,vód
Nm_Nm	crann éabainn	crann,éabann
Nm_Nm	crann úpais	crann,úpas
Nf_VNTGenL	craobh cheoil	craobh,ceol
Nf_VA	craobh chosanta	craobh,cosanta
Nf_VA	craobh shleachta	craobh,sleachta
Nf_Nm	craobh troim	craobh,trom
Nm_A	creabhar caoch	creabhar,caoch
Nm_Nf	criathar meala	criathar,mil
Nm_Nm	criogar féir	criogar,féar
Nm_Nf	crios geanmnaíochta	crios,geanmnaíocht
Nm_Nf	crios gualainne	crios,gualainn
Nm_Nm	crios iompair	crios,iompar
Nm_A	crios leaisteach	crios,leaisteach
Nm_A	crios maolánach	crios,maolánach
Nm_na_Nf	crios na cruinne	crios,na,cruinne
Nm_Nm	crios oifigigh	crios,oifigeach
Nm_VNTGen	crios tarrthála	crios,tarrtháil
Nm_Nm	crios ózóin	crios,ózón
Nm_Nf	crith talún	crith,talamh
Nm_Nm	crobh préacháin	crobh,préachán
Nm_Nm	croiteoir féir	croiteoir,féar
Nm_Nf	cromán luatha	cromán,luaith
Nm_Nf	cromán móna	cromán,móin
Nm_Nm	crotach eanaigh	crotach,eanach
Nm_Nm	crotach samhraidh	crotach,samhradh
Nm_Nf	crotal coille	crotal,coill
Nf_A	crothóg dhubh	crothóg,dubh
Nm_Nm	croí blátha	croí,bláth
Nm_VA	croí cráite	croí,cráite
Nf_PrA_NmComL	crua sa chorp	crua,i,corp
Nf_AB	cruach dhosmálta	cruach,dosmálta
Nf_PrA_NfComE	cruimh faoin bhfiacail	cruimh,faoi,fiacail
Nm_Nm	cruinniú mullaigh	cruinniú,mullach
Nf_Pr_NfComL	cruit gan chéis	cruit,gan,céis
Nf_A	cráin chraosach	cráin,craosach
Nf_VA	cré bhruite	cré,bruite
Nm_Nm	cró coinnleora	cró,coinnleoir
Nm_Nf	cró dornálaíochta	cró,dornálaíocht
Nm_Nf	cró muice	cró,muc
Nf_NfL	crúb ghé	crúb,gé
Nm_Nm	crúca leádóra	crúca,leádóir
Nm_A	crúibín cam	crúibín,cam
Nm_A	crúsca scrogallach	crúsca,scrogallach
Nm_Nm	cuaille eolais	cuaille,eolas
Nm_VA	cuaille feistithe	cuaille,feistithe
Nm_na_Nf	cuas na láirige	cuas,na,láirig
Nf_A	cuil ghorm	cuil,gorm
Nf_VNTIGen	cuil troda	cuil,troid
Nf_Nm	cuil tí	cuil,teach
Nf_A	cuingir líneach	cuingir,líneach
Nm_Nm	cuirtín dorais	cuirtín,doras
Nm_A	cuirín dearg	cuirín,dearg
Nm_A	cuirín dubh	cuirín,dubh
Nf_A	cuisle mhór	cuisle,mór
Nf_A	culaith fhliuch	culaith,fliuch
Nf_VNTIGenL	culaith shnámha	culaith,snámh
Nf_A	cuma amhrasach	cuma,amhrasach
Nm_Nf	cumann carthanachta	cumann,carthanacht
Nm_Nm	cumann gailf	cumann,galf
Nf_NfL	cumhacht ghaoithe	cumhacht,gaoth
Nm_Nf	cumhdach cathaoireach	cumhdach,cathaoir
Nm_Nm	cuntas bainc	cuntas,banc
Nm_Nm	cuntas béil	cuntas,béal
Nm_Nm	cupán drúchta	cupán,drúcht
Nm_Pr_NfComL	cur ar aghaidh	cur,ar,aghaidh
Nm_Pr_NfComL	cur ar ais	cur,ar,ais
Nm_Pr_NmComE	cur ar gcúl	cur,ar,cúl
Nm_Pr_NmComL	cur ar neamhní	cur,ar,neamhní
Nm_Nf	cur dí	cur,deoch
Nm_Pr_NfComL	cur faoi bhráid	cur,faoi,bráid
Nm_NSt	cur fearthainne	cur,fearthainn
Nm_Pr_NmPlComE	cur i bpíopaí	cur,i,píopa
Nm_Pr_NmComE	cur i bpóna	cur,i,póna
Nm_Pr_NfComE	cur i dtaisce	cur,i,taisce
Nm_Pr_NfComE	cur i gcoinne	cur,i,coinne
Nm_Pr_NfDatE	cur i gcrích	cur,i,críoch
Nm_Pr_NmComE	cur i gcás	cur,i,cás
Nm_Pr_NfComE	cur i leith	cur,i,leith
Nm_Pr_NfComE	cur i láthair	cur,i,láthair
Nm_Pr_NmComE	cur i mála	cur,i,mála
Nm_Pr_NmComE	cur i ngléas	cur,i,gléas
Nm_Pr_NmComE	cur i ngníomh	cur,i,gníomh
Nm_Pr_NfComE	cur i seilbh	cur,i,seilbh
Nm_Pr_NmComL	cur le chéile	cur,le,céile
Nm_A	cur mianach	cur,mianach
Nm_Pr_NmComL	cur ó chéile	cur,ó,céile
Nm_Nf	curadh croise	curadh,cros
Nm_VA	cuspóir folaithe	cuspóir,folaithe
Nm_VA	cábla carta	cábla,carta
Nm_Nm	cábla sínidh	cábla,síneadh
Nm_Nm	cábán adhmaid	cábán,adhmad
Nm_A	cáca milis	cáca,milis
Nf_VNTGenL	cáipéis dhíotála	cáipéis,díotáil
Nf_A	cáis Eilvéiseach	cáis,Eilvéiseach
Nf_Nm	cáis tí	cáis,teach
Nm_A	cál catach	cál,catach
Nm_A	cál ceannann	cál,ceannann
Nm_A	cál rábach	cál,rábach
Nf_A	cánóg bhán	cánóg,bán
Nf_A	cánóg dhubh	cánóg,dubh
Nm_Nm	cárta Aifrinn	cárta,Aifreann
Nm_Nm	cárta airgid	cárta,airgead
Nm_Nm	cárta aitheantais	cárta,aitheantas
Nm_Nm	cárta bainc	cárta,banc
Nm_Nf	cárta ballraíochta	cárta,ballraíocht
Nm_Nf	cárta beannachta	cárta,beannacht
Nm_VNTIGen	cárta bordála	cárta,bordáil
Nm_Nm	cárta creidmheasa	cárta,creidmheas
Nm_Nf	cárta fuaime	cárta,fuaim
Nm_Nf	cárta físe	cárta,fís
Nm_AB	cárta glas	cárta,glas
Nm_Nm	cárta gutháin	cárta,guthán
Nm_VA	cárta imeartha	cárta,imeartha
Nm_Nm	cárta poist	cárta,post
Nm_Nm	cárta scóir	cárta,scór
Nm_Nm	céile Dé	céile,dia
Nm_VNTIGen	céile comhraic	céile,comhrac
Nm_Nf	céile iomaíochta	céile,iomaíocht
Nf_Pr_NfComL	céim ar aghaidh	céim,ar,aghaidh
Nf_Pr_NfComL	céim ar chéim	céim,ar,céim
Nf_NfL	céim bhacaí	céim,bacaí
Nf_AB	céim fhada	céim,fada
Nf_NfL	cíoch charraige	cíoch,carraig
Nf_NfL	cíor mheala	cíor,mil
Nm_A	cíos dubh	cíos,dubh
Nm_na_Nf	cíos na hainnise	cíos,na,ainnise
Nm_Nf	císte boise	císte,bos
Nm_Nf	císte cáise	císte,cáis
Nm_A	císte milis	císte,milis
Nm_Nm	cód poist	cód,post
Nm_Nm	cófra tarraiceáin	cófra,tarraiceán
Nf_A	cóip gharbh	cóip,garbh
Nm_Nf	cóiriú gruaige	cóiriú,gruaig
Nm_Nm	cóiriú ionaid	cóiriú,ionad
Nm_A	cóiste bodhar	cóiste,bodhar
Nm_Nf	cóiste codlata	cóiste,codladh
Nm_Nm	cóiste linbh	cóiste,leanbh
Nm_na_NmGenW	cóiste na marbh	cóiste,na,marbh
Nm_VNTGen	córas aerála	córas,aeráil
Nm_na_Nf	córas na gréine	córas,na,grian
Nm_VA	córas oibrithe	córas,oibrithe
Nm_Nf	córas ointeolaíochta	córas,ointeolaíocht
Nm_A	córas saineolach	córas,saineolach
Nm_VNIGen	cóta báistí	cóta,báisteach
Nm_A	cóta bán	cóta,bán
Nm_Nm	cóta eireabaill	cóta,eireaball
Nm_Nm	cóta fionnaidh	cóta,fionnadh
Nm_A	cóta mór	cóta,mór
Nm_AB	cú allta	cú,allta
Nm_VA	cú cosanta	cú,cosanta
Nm_Nm	cú dobhráin	cú,dobhrán
Nm_Nm	cú faoil	cú,faol
Nm_VNTIGen	cú seilge	cú,seilg
Nf_VNTIGen	cúil stócála	cúil,stócáil
Nf_A	cúirt Phreispitéireach	cúirt,Preispitéireach
Nf_NfL	cúirt chéadchéime	cúirt,céadchéim
Nf_NfL	cúirt dhúiche	cúirt,dúiche
Nf_VNT	cúirt dlí	cúirt,dlí
Nf_VA	cúis bhuartha	cúis,buartha
Nf_VNT	cúis dlí	cúis,dlí
Nm_Nm	cúl airgid	cúl,airgead
Nm_Nf	cúl dídine	cúl,dídean
Nm_A	cúl fionn	cúl,fionn
Nm_Nf	cúl tóna	cúl,tóin
Nm_Nf	cúnamh dífhostaíochta	cúnamh,dífhostaíocht
Nm_VNTGen	cúrsa athnuachana	cúrsa,athnuachan
Nm_AB	cúrsa spioradálta	cúrsa,spioradálta
Nm_VNTI	cúrsa taistil	cúrsa,taistil
Nm_VNTIGen	cúrsa teagaisc	cúrsa,teagasc
Nf_NfL	dair cheirmise	dair,ceirmis
Nm_Nm	dallán Dé	dallán,dia
Nm_Nf	dalta cíche	dalta,cíoch
Nm_A	danar mór	danar,mór
Nm_A	daol adharcach	daol,adharcach
Adv:Pr_Nm	dar teideal	dar,teideal
Nm_Nf	dath gréine	dath,grian
Nm_A	dath líomóideach	dath,líomóideach
Nm_Nf	dath seacláide	dath,seacláid
Adv:Pr_NfL	de bharraíocht	de,barraíocht
Adv:Pr_NfL	de chóir	de,cóir
Adv:Pr_NmL	de chúram	de,cúram
Adv:Pr_NmL	de dhualgas	de,dualgas
Adv:Pr_NfL	de dhíth	de,díth
Adv:Pr_NmL	de ghnáth	de,gnáth
Adv:Pr_NmL	de ghréas	de,gréas
Adv:Pr_NfL	de léim	de,léim
Adv:Pr_NmL	de sciotán	de,sciotán
Adv:Pr_NfL	de thaisme	de,taisme
Adv:Pr_NfL	de theip	de,teip
Nf_NfL	dealbh bhrád	dealbh,bráid
Nf_A	dealbh lomnocht	dealbh,lomnocht
Nm_na_Nf	dealramh na fírinne	dealramh,na,fírinne
Nm_na_Nf	dealramh na gréine	dealramh,na,grian
Nm_Nf	dearbhú cáilíochta	dearbhú,cáilíocht
Nm_na_NmGenW	deilín na mbacach	deilín,na,bacach
Nm_Nf	deireadh loinge	deireadh,long
Nm_Nf	deireadh seachtaine	deireadh,seachtain
Nf_VA	deis chóirithe	deis,cóirithe
Adv:PrA_Nm	den seandéanamh	de,seandéanamh
Nf_A	deoch choipeach	deoch,coipeach
Nf_A	deoch mheisciúil	deoch,meisciúil
Nf_A	deoch neamh-mheisciúil	deoch,neamh-mheisciúil
Nm_AB	diosca crua	diosca,crua
Nm_VA	diúracán treoraithe	diúracán,treoraithe
Nf_NfL	dlaoi ghruaige	dlaoi,gruaig
Nf_Nf	dleacht píolótaíochta	dleacht,píolótaíocht
Nm_Nm	dlí airm	dlí,arm
Nm_A	dlí coiteann	dlí,coiteann
Nm_AB	dlí míleata	dlí,míleata
Nf_Nf	dlínse cúirte	dlínse,cúirt
Adv:Pr_NmL	do leataobh	do,leataobh
Nm_A	dochar díreach	dochar,díreach
Nm_A	doilíos neamhiomlán	doilíos,neamhiomlán
Nm_A	doras imrothlach	doras,imrothlach
Nm_VA	doras éalaithe	doras,éalaithe
Nm_Nm	dorú ingir	dorú,ingear
Nf_A	dramhaíl thocsaineach	dramhaíl,tocsaineach
Nf_Nf	dreas codlata	dreas,codladh
Nm_Nm	dreoilín easpaig	dreoilín,easpag
Nm_Nm	dreoilín teaspaigh	dreoilín,teaspach
Nm_Nm	driuch craicinn	driuch,craiceann
Nm_VA	droichead crochta	droichead,crochta
Nm_Nf	droichead loinge	droichead,long
Nm_Nf	droichead sróine	droichead,srón
Nm_VNTIGen	droichead tógála	droichead,tógáil
Nm_Pr_NfComL	droim ar ais	droim,ar,ais
Nm_Nf	droim bróige	droim,bróg
Nm_Nf	droim coise	droim,cos
Nm_VA	droim deighilte	droim,deighilte
Nm_A	droim dubh	droim,dubh
Nm_A	droim dubhach	droim,dubhach
Nm_A	druma mór	druma,mór
Nm_Nf	druma sreinge	druma,sreang
Nm_A	dréacht garbh	dréacht,garbh
Nm_VA	dréacht molta	dréacht,molta
Nm_Nm	dréimire fir	dréimire,fear
Nm_A	dréimire gorm	dréimire,gorm
Nm_Nf	drúcht meala	drúcht,mil
Nm_Nf	drúchtín móna	drúchtín,móin
Nf_A	duais mhór	duais,mór
Nm_Nm	dualgas cruthúnais	dualgas,cruthúnas
Nm_AB	dubh dorcha	dubh,dorcha
Nm_VA	dubh dóite	dubh,dóite
Nm_A	dubh gorm	dubh,gorm
Nm_Nf	duileasc abhann	duileasc,abhainn
Nf_VA	duilleog bháite	duilleog,báite
Nm_A	duine aisteach	duine,aisteach
Nm_A	duine ait	duine,ait
Nm_Nm	duine aitheantais	duine,aitheantas
Nm_Nf	duine aithrise	duine,aithris
Nm_A	duine anaithnid	duine,anaithnid
Nm_Nm	duine aonair	duine,aonar
Nm_A	duine ardnósach	duine,ardnósach
Nm_Nf	duine asarlaíochta	duine,asarlaíocht
Nm_AB	duine baothghalánta	duine,baothghalánta
Nm_Nf	duine breise	duine,breis
Nm_VA	duine caillte	duine,caillte
Nm_VNTGen	duine ceangail	duine,ceangal
Nm_A	duine ceannasach	duine,ceannasach
Nm_AB	duine ceanndána	duine,ceanndána
Nm_A	duine ceartaiseach	duine,ceartaiseach
Nm_A	duine clúiteach	duine,clúiteach
Nm_Nm	duine colscartha	duine,colscaradh
Nm_VA	duine comórtha	duine,comórtha
Nm_A	duine corr	duine,corr
Nm_A	duine deisbhéalach	duine,deisbhéalach
Nm_Pr_NfComL	duine do thrua	duine,do,trua
Nm_A	duine dáigh	duine,dáigh
Nm_AB	duine dígeanta	duine,dígeanta
Nm_Nm	duine díolacháin	duine,díolachán
Nm_A	duine dóchasach	duine,dóchasach
Nm_VA	duine dóite	duine,dóite
Nm_A	duine fionn	duine,fionn
Nm_A	duine fiáin	duine,fiáin
Nm_VA	duine fásta	duine,fásta
Nm_AB	duine galánta	duine,galánta
Nm_A	duine geal	duine,geal
Nm_Nm	duine gill	duine,geall
Nm_AB	duine gleoite	duine,gleoite
Nm_A	duine gorm	duine,gorm
Nm_Nf	duine iasachta	duine,iasacht
Nm_A	duine ilbhéarlach	duine,ilbhéarlach
Nm_A	duine iomráiteach	duine,iomráiteach
Nm_AB	duine liteartha	duine,liteartha
Nm_A	duine luaineach	duine,luaineach
Nm_AB	duine lánaosta	duine,lánaosta
Nm_NSt	duine magaidh	duine,magadh
Nm_A	duine mairgiúil	duine,mairgiúil
Nm_AB	duine muinteartha	duine,muinteartha
Nm_A	duine mí-ámharach	duine,mí-ámharach
Nm_A	duine mór	duine,mór
Nm_A	duine mórluachach	duine,mórluachach
Nm_AB	duine neamhphósta	duine,neamhphósta
Nm_Nf	duine raice	duine,raic
Nm_AB	duine saolta	duine,saolta
Nm_VA	duine scaipthe	duine,scaipthe
Nm_AB	duine tintrí	duine,tintrí
Nm_A	duine uasal	duine,uasal
Nm_A	duine éigin	duine,éigin
Nm_Pr_NfComL	dul ar aghaidh	dul,ar,aghaidh
Nm_Pr_NmComE	dul ar gcúl	dul,ar,cúl
Nm_Pr_NmComE	dul i bhfeabhas	dul,i,feabhas
Nm_Pr_NmComE	dul i bhfolach	dul,i,folach
Nm_Pr_NfComE	dul i gcoinne	dul,i,coinne
Nm_Pr_NfComE	dul i gcomhairle	dul,i,comhairle
Nm_Pr_NfComE	dul i léig	dul,i,léig
Nm_Pr_NfComE	dul i muinín	dul,i,muinín
Nm_Pr	dul thar	dul,thar
Nm_Pr_NmComL	dul ó sholas	dul,ó,solas
Nm_Nm	dáileoir airgid	dáileoir,airgead
Nm_Nf	dáta aibíochta	dáta,aibíocht
Nm_Nm	déad feasa	déad,fios
Nm_A	déan broghach	déan,broghach
Nm_A	déan cruinn	déan,cruinn
Nm_A	déan daonlathach	déan,daonlathach
Nm_A	déan dleathach	déan,dleathach
Nm_A	déan doiléir	déan,doiléir
Nm_A	déan foirmiúil	déan,foirmiúil
Nm_A	déan geamhchaoch	déan,geamhchaoch
Nm_AB	déan modartha	déan,modartha
Nm_A	déan mídhleathach	déan,mídhleathach
Nm_A	déan soiléir	déan,soiléir
Nm_A	déan tinn	déan,tinn
Nm_Nm	déanamh coirp	déanamh,corp
Nm_Nf	déanamh páirte	déanamh,páirt
Nf_Nm	dídean deiridh	dídean,deireadh
Nf_Nf	díth codlata	díth,codladh
Nf_Nf	díth céille	díth,ciall
Nf_Nm	díth cúnaimh	díth,cúnamh
Nf_AB	dóib bhuí	dóib,buí
Nf_Pr_NmComL	dóthain de dhiúité	dóthain,de,diúité
Nm_Nm	dúch cudail	dúch,cudal
Nm_na_NmGenW	dúlamán na gclog	dúlamán,na,clog
Nm_A	dúnmharfóir gairmiúil	dúnmharfóir,gairmiúil
Nf_A	eachtra thábhachtach	eachtra,tábhachtach
Nm_AB	eagrán speisialta	eagrán,speisialta
Nm_AB	eagrán teoranta	eagrán,teoranta
Nf_A	ealaín anchúinseach	ealaín,anchúinseach
Nf_NfL	ealaín bheatha	ealaín,beatha
Nf_A	ealaín dhubh	ealaín,dubh
Nm_Nf	earc luachra	earc,luachair
Nm_Nm	earc sléibhe	earc,sliabh
Nm_A	earcán caoch	earcán,caoch
Nf_A	earráid uafásach	earráid,uafásach
Nf_NfL	easair fhola	easair,fuil
Nm_Nm	eascra anlainn	eascra,anlann
Nf_Nf	easpa dídine	easpa,dídean
Nm_A	eastát réadach	eastát,réadach
Nm_Nf	eastát tithíochta	eastát,tithíocht
Nm_Nf	eidhneán nimhe	eidhneán,nimh
Nm_Nf	eidhneán talún	eidhneán,talamh
Nm_Nm	eireaball cait	eireaball,cat
Nm_Nm	eireaball capaill	eireaball,capall
Nm_A	eireaball gabhlánach	eireaball,gabhlánach
Nf_AB	eite chlé	eite,clé
Nf_A	eite dheas	eite,deas
Nf_A	eite threorach	eite,treorach
Nf_A	eitilt cheangailteach	eitilt,ceangailteach
Nm_VNTIGen	eitleán buamála	eitleán,buamáil
Nm_VNTIGen	eitleán troda	eitleán,troid
Nf_Nm	eo feasa	eo,fios
Nm_Nf	eolaí cógaisíochta	eolaí,cógaisíocht
Nm_Nm	eolaí teileafóin	eolaí,teileafón
Nf_AB	eolaíocht shóisialta	eolaíocht,sóisialta
Nf_A	eorna bheag	eorna,beag
Nm_Nf	fabhcún coille	fabhcún,coill
Nm_A	fabhcún gorm	fabhcún,gorm
Nm_Nm	fachtóir formhéadúcháin	fachtóir,formhéadúchán
Nf_A	faireog aidréineach	faireog,aidréineach
Nf_Nm	fairsinge cinn	fairsinge,ceann
Nf_VA	fallaing fholctha	fallaing,folctha
Nf_A	faocha bhiorach	faocha,biorach
Adv:Pr_NfL	faoi aois	faoi,aois
Adv:Pr_NmL	faoi armas	faoi,armas
Adv:Pr_NmL	faoi bhac	faoi,bac
Adv:Pr_NmL	faoi bhealach	faoi,bealach
Adv:Pr_NmL	faoi bhláth	faoi,bláth
Adv:Pr_NmL	faoi cheadúnas	faoi,ceadúnas
Adv:Pr_NfL	faoi cheilt	faoi,ceilt
Adv:Pr_NfL	faoi chian	faoi,cian
Adv:Pr_NfL	faoi chis	faoi,cis
Adv:Pr_NmL	faoi chlár	faoi,clár
Adv:Pr_NfL	faoi choim	faoi,coim
Adv:Pr_NfL	faoi chomaoin	faoi,comaoin
Adv:Pr_NmL	faoi chotadh	faoi,cotadh
Adv:Pr_NmL	faoi dheireadh	faoi,deireadh
Adv:Pr_NfL	faoi dhraíocht	faoi,draíocht
Adv:Pr_NfL	faoi dháir	faoi,dáir
Adv:Pr_NmL	faoi dhíon	faoi,díon
Adv:Pr_NmL	faoi fhial	faoi,fial
Adv:Pr_NmL	faoi fhionnadh	faoi,fionnadh
Adv:Pr_NfL	faoi fhothain	faoi,fothain
Adv:Pr_NfL	faoi ghallúnach	faoi,gallúnach
Adv:Pr_NfL	faoi ghlas	faoi,glas
Adv:Pr_NfL	faoi ghruaim	faoi,gruaim
Adv:Pr_NmL	faoi iamh	faoi,iamh
Adv:Pr_NmL	faoi imreas	faoi,imreas
Adv:Pr_NfL	faoi leith	faoi,leith
Adv:Pr_NfL	faoi láthair	faoi,láthair
Adv:Pr_NfL	faoi mhaise	faoi,maise
Adv:Pr_NmL	faoi mhionn	faoi,mionn
Adv:Pr_NmL	faoi mhíbhuntáiste	faoi,míbhuntáiste
Adv:Pr_NfL	faoi mhóid	faoi,móid
Adv:Pr_NfL	faoi oibleagáid	faoi,oibleagáid
Adv:Pr_NfL	faoi phribhléid	faoi,pribhléid
Adv:Pr_NmL	faoi rath	faoi,rath
Adv:Pr_NfL	faoi réir	faoi,réir
Adv:Pr_NmL	faoi rún	faoi,rún
Adv:Pr_NmL	faoi scaoll	faoi,scaoll
Adv:Pr_NmL	faoi shainordú	faoi,sainordú
Adv:Pr_NmL	faoi shiúl	faoi,siúl
Adv:Pr_NmL	faoi shuaimhneas	faoi,suaimhneas
Adv:Pr_NmL	faoi shó	faoi,só
Adv:Pr_NmL	faoi smacht	faoi,smacht
Adv:Pr_NmL	faoi smál	faoi,smál
Adv:Pr_NfL	faoi thalamh	faoi,talamh
Adv:Pr_NmL	faoi thost	faoi,tost
Adv:Pr_NmL	faoi uafás	faoi,uafás
Adv:Pr_NmL	faoi ualach	faoi,ualach
Adv:Pr_NmL	faoi uamhan	faoi,uamhan
Adv:Pr_NmL	faoi uisce	faoi,uisce
Adv:PrA_NmE	faoin mbráca	faoi,bráca
Adv:PrA_Nf	faoin tuath	faoi,tuath
Nm_Nf	faoiseamh láimhe	faoiseamh,lámh
Nm_AB	farcha tintrí	farcha,tintrí
Nf_A	farraige mhór	farraige,mór
Nf_VA	faí chéasta	faí,céasta
Nm_A	feadán ribeach	feadán,ribeach
Nf_A	feadóg ghlórach	feadóg,glórach
Nf_A	feadóg mhór	feadóg,mór
Nm_Pr_NfComL	feall ar iontaoibh	feall,ar,iontaoibh
Nf_A	feamainn bhoilgíneach	feamainn,boilgíneach
Nf_AB	feamainn bhuí	feamainn,buí
Nf_A	feamainn choiréalach	feamainn,coiréalach
Nf_A	feamainn dhearg	feamainn,dearg
Nf_A	feamainn dhubh	feamainn,dubh
Nf_Pr_NfComL	feamainn faoi thír	feamainn,faoi,tír
Nf_NfL	feamainn ghaoithe	feamainn,gaoth
Nf_VNTIGen	feamainn reatha	feamainn,rith
Nf_VNTI	feamainn trá	feamainn,trá
Nf_A	feannóg charrach	feannóg,carrach
Nf_A	feannóg dhubh	feannóg,dubh
Nm_A	fear ceannais	fear,ceannais
Nm_VNTGen	fear ceoil	fear,ceol
Nm_Nf	fear coille	fear,coill
Nm_VA	fear coimeádta	fear,coimeádta
Nm_Nf	fear coimhdeachta	fear,coimhdeacht
Nm_AB	fear crua	fear,crua
Nm_A	fear deaslámhach	fear,deaslámhach
Nm_VNT	fear dlí	fear,dlí
Nm_Nm	fear dorais	fear,doras
Nm_AB	fear dána	fear,dána
Nm_Nm	fear díolacháin	fear,díolachán
Nm_Nm	fear dóiteáin	fear,dóiteán
Nm_VNTI	fear faire	fear,faire
Nm_Nm	fear faobhair	fear,faobhar
Nm_Nm	fear feasa	fear,fios
Nm_Nf	fear feidhme	fear,feidhm
Nm_Nf	fear fichille	fear,ficheall
Nm_VA	fear fuinte	fear,fuinte
Nm_VA	fear glanta	fear,glanta
Nm_A	fear glic	fear,glic
Nm_A	fear grinn	fear,grinn
Nm_Nm	fear ionaid	fear,ionad
Nm_VA	fear labhartha	fear,labhartha
Nm_VNTIGen	fear leanúna	fear,leanúint
Nm_Nm	fear léinn	fear,léann
Nm_Nf	fear líne	fear,líne
Nm_Nm	fear lóistín	fear,lóistín
Nm_Nf	fear lúthchleasaíochta	fear,lúthchleasaíocht
Nm_NSt	fear oibre	fear,obair
Nm_Nf	fear piocóide	fear,piocóid
Nm_Nf	fear pluaise	fear,pluais
Nm_Nm	fear poist	fear,post
Nm_Nm	fear preasa	fear,preas
Nm_Nm	fear seó	fear,seó
Nm_A	fear singil	fear,singil
Nm_Nm	fear siúil	fear,siúl
Nm_Nm	fear sneachta	fear,sneachta
Nm_Nm	fear sparáin	fear,sparán
Nm_Nm	fear spóirt	fear,spórt
Nm_Nf	fear teanga	fear,teanga
Nm_Nf	fear teorann	fear,teorainn
Nm_Nf	fear tine	fear,tine
Nm_Nf	fear tuaithe	fear,tuath
Nm_Nm	fear tábhairne	fear,tábhairne
Nm_Nm	fear tí	fear,teach
Nm_Nf	fear tóna	fear,tóin
Nm_Nf	fearas garchabhrach	fearas,garchabhair
Nm_AB	feileastram cumhra	feileastram,cumhra
Nf_A	feirm bheag	feirm,beag
Nm_A	feirmeoir beag	feirmeoir,beag
Nf_VA	feoil mhionaithe	feoil,mionaithe
Nm_Nm	fia bairr	fia,barr
Nm_A	fia mór	fia,mór
Nm_A	fia odhar	fia,odhar
Nm_AB	fia rua	fia,rua
Nm_A	fiabhras ballach	fiabhras,ballach
Nm_A	fiabhras breac	fiabhras,breac
Nm_AB	fiabhras buí	fiabhras,buí
Nm_A	fiabhras dearg	fiabhras,dearg
Nm_A	fiabhras dubh	fiabhras,dubh
Nf_Nm	fiacail forais	fiacail,foras
Nm_A	fial mogallach	fial,mogallach
Nm_Nf	ficsean eolaíochta	ficsean,eolaíocht
Nm_Nm	finné fir	finné,fear
Nm_A	fiontar príobháideach	fiontar,príobháideach
Nm_AB	fios collaí	fios,collaí
Nf_NfL	fleá fhulachta	fleá,fulacht
Nf_A	fliúit Shasanach	fliúit,Sasanach
Nm_Pr_NmComL	focal ar fhocal	focal,ar,focal
Nm_A	focal deireanach	focal,deireanach
Nm_VNTI	focal faire	focal,faire
Nm_A	focal grinn	focal,grinn
Nm_Nm	focal misnigh	focal,misneach
Nm_VA	focal molta	focal,molta
